region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
SCA,Afghanistan,Kabul,Confucius Institute at Kabul University,Active,Kabul University,2008,NA
EUR,Albania,Tirana,Confucius Institute at University of Tirana,Active,University of Tirana,2013,NA
AF,Angola,Luanda,Confucius Institute at Agostinho Neto University,Active,Agostinho Neto University,2014,NA
WHA,Antigua and Barbuda,St. John’s,Confucius Institute at Antigua and Barbuda Institute of Continuing Education,Active,Antigua and Barbuda Institute of Continuing Education,2019,NA
WHA,Argentina,La Plata,Confucius Institute at La Plata National University,Active,La Plata National University,2009,NA
WHA,Argentina,Buenos Aires,Confucius Institute at University of Buenos Aires,Active,University of Buenos Aires,2009,NA
WHA,Argentina,Cordoba,Confucius Institute at National University of Cordoba,Active,National University of Cordoba,2020,NA
EUR,Armenia,Yerevan,Confucius Institute at Brusov State University,Active,Yerevan Brusov State University of Languages and Social Sciences,2009,NA
EAP,Australia,Perth,Confucius Institute at University of Western Australia,Active,University of Western Australia,2005,NA
EAP,Australia,Adelaide,Confucius Institute at University of Adelaide,Active,University of Adelaide,2007,NA
EAP,Australia,Sydney,Confucius Institute at University of New South Wales,Active,University of New South Wales,2007,NA
EAP,Australia,Brisbane,Confucius Institute at University of Queensland,Active,University of Queensland,2007,NA
EAP,Australia,Brisbane,Confucius Institute at Queensland University of Technology,Active,Queensland University of Technology,2008,NA
EAP,Australia,Melbourne,Confucius Institute at Royal Melbourne Institute of Technology,Closed,Royal Melbourne Institute of Technology,2008,2021
EAP,Australia,Newcastle,Confucius Institute at University of Newcastle,Active,University of Newcastle,2008,NA
EAP,Australia,Sydney,Confucius Institute at University of Sydney,Active,University of Sydney,2008,NA
EAP,Australia,Melbourne,Confucius Institute at University of Melbourne,Active,University of Melbourne,2009,NA
EAP,Australia,Melbourne,Confucius Institute at La Trobe University,Active,La Trobe University,2011,NA
EAP,Australia,Darwin,Confucius Institute at Charles Darwin University,Active,Charles Darwin University,2012,NA
EAP,Australia,Gold Coast,Confucius Institute at Griffith University,Active,Griffith University,2012,NA
EAP,Australia,Sydney,Confucius Institute at Department of Education and Communities State of New South Wales,Closed,Department of Education and Communities State of New South Wales,2015,2019
EAP,Australia,Melbourne,Confucius Institute at Victoria University,Active,Victoria University,2016,NA
EUR,Austria,Vienna,Confucius Institute at University of Vienna,Active,University of Vienna,2006,NA
EUR,Austria,Graz,Confucius Institute at University of Graz,Active,University of Graz,2010,NA
EUR,Azerbaijan,Baku,Confucius Institute at Baku State University,Active,Baku State University,2011,NA
EUR,Azerbaijan,Baku,Confucius Institute at Azerbaijan University of Languages,Active,Azerbaijan University of Languages,2016,NA
WHA,Bahamas,Nassau,Confucius Institute at Bahamas Institute,Active,Bahamas Institute,2009,NA
NEA,Bahrain,Manama,Confucius Institute at University of Bahrain,Active,University of Bahrain,2014,NA
SCA,Bangladesh,Dhaka,Confucius Institute at North South University,Active,North South University,2006,NA
SCA,Bangladesh,Dhaka,Confucius Institute at University of Dhaka,Active,University of Dhaka,2016,NA
WHA,Barbados,Bridgetown,"Confucius Institute at University of West Indies, Cave Hill Campus",Active,"University of West Indies, Cave Hill Campus",2015,NA
EUR,Belarus,Minsk,Confucius Institute at Belarusian State University,Active,Belarusian State University,2006,NA
EUR,Belarus,Minsk,"Confucius Institute at Minsk State Linguistic University, Belarus",Active,"Minsk State Linguistic University, Belarus",2011,NA
EUR,Belarus,Minsk,Confucius Institute at Belarusian National Technical University,Active,Belarusian National Technical University,2013,NA
EUR,Belarus,Gomel,Confucius Institute at Francisk Skorina Gomel State University,Active,Francisk Skorina Gomel State University,2017,NA
EUR,Belgium,Brussels,Confucius Institute at Belgium China Association,Active,Belgium China Association,2005,NA
EUR,Belgium,Liege,Confucius Institute at University of Liege,Active,University of Liege,2005,NA
EUR,Belgium,Leuven,Confucius Institute at GROUP T-International Engineering Academy,Active,GROUP T-International Engineering Academy,2008,NA
EUR,Belgium,Bruge,Confucius Institute at University College West Flanders,Active,Howest / Hogeschool West-Vlaanderen,2012,NA
EUR,Belgium,Brussels,Confucius Institute at Confucius Institute at VUB,Closed,Confucius Institute at VUB,2015,2020
EUR,Belgium,Brussels,Confucius Institute at Université Libre de Bruexlles,Closed,Université Libre de Bruxelles,2016,2019
AF,Benin,Porto-Novo,Confucius Institute at University of Abomey-Calavi,Active,University of Abomey-Calavi,2009,NA
WHA,Bolivia (Plurinational State of),Cochabamba,Confucius Institute at University of San Simon,Active,University of San Simon,2011,NA
EUR,Bosnia and Herzegovina,Sarajevo,Confucius Institute at University of Sarajevo,Active,University of Sarajevo,2015,NA
EUR,Bosnia and Herzegovina,Banja Luka,Confucius Institute at University of Banja Luka,Active,University of Banja Luka,2017,NA
AF,Botswana,Gaborone,Confucius Institute at University of Botswana,Active,University of Botswana,2009,NA
WHA,Brazil,Brasilia,Confucius Institute at University of Brasilia,Active,University of Brasilia,2008,NA
WHA,Brazil,São Paulo,Confucius Institute at Universidade de São Paulo,Active,Universidade de São Paulo,2009,NA
WHA,Brazil,Rio de Janeiro,Confucius Institute at Pontifical Catholic University of Rio de Janeiro,Active,Pontifical Catholic University of Rio de Janeiro,2011,NA
WHA,Brazil,Porto Alegre,Confucius Institute at Universidade Federal do Rio Grande do Sul,Active,Universidade Federal do Rio Grande do Sul-UFRGS,2011,NA
WHA,Brazil,São Paulo,Confucius Institute at FAAP Higher Education Center,Active,FAAP Higher Education Center,2012,NA
WHA,Brazil,Belo Horizonte,Confucius Institute at Universidade Federal de Minas Gerais,Active,Universidade Federal de Minas Gerais,2013,NA
WHA,Brazil,Recife,Confucius Institute at University of Pernambuco,Active,University of Pernambuco,2013,NA
WHA,Brazil,Campinas,Confucius Institute at University of Campinas,Active,University of Campinas / Unicamp,2015,NA
WHA,Brazil,Belém,Confucius Institute at State University of Pará,Active,State University of Pará,2016,NA
EUR,Bulgaria,Veliko Tarnovo,Confucius Institute at St. Cyril and St. Methodius University of Veliko Turnovo,Active,St. Cyril and St. Methodius University of Veliko Turnovo,2012,NA
EUR,Bulgaria,Sofia,Confucius Institute at Sofia University,Active,"Sofia University ""St. Kliment Ohridski""",2015,NA
AF,Burkina Faso,Bobo-Dioulasso,Confucius Institute at Nazi BONI University,Active,Nazi BONI University,2019,NA
AF,Burundi,Bujumbura,Confucius Institute at University of Burundi,Active,University of Burundi,2011,NA
AF,Cabo Verde,Praia,Confucius Institute at University of Cabo Verde,Active,University of Cabo Verde,2015,NA
EAP,Cambodia,Phnom-Penh,Confucius Institute at Royal Academy of Cambodia,Active,Royal Academy of Cambodia,2009,NA
EAP,Cambodia,Battambang,Confucius Institute at National University of Battambang,Active,National University of Battambang,2019,NA
AF,Cameroon,Yaounde,Confucius Institute at University of Yaounde II,Active,University of Yaounde II,2007,NA
WHA,Canada,Moncton,Confucius Institute at Atlantic Education International Inc.,Closed,Atlantic Education International Inc.,2006,2022
WHA,Canada,Vancouver,Confucius Institute at British Columbia Institute of Technology (BCIT),Closed,British Columbia Institute of Technology (BCIT),2006,2019
WHA,Canada,Montreal,Confucius Institute at Dawson College,Active,Dawson College,2006,NA
WHA,Canada,Waterloo,Confucius Institute at University of Waterloo,Active,University of Waterloo,2006,NA
WHA,Canada,Edmonton,Confucius Institute at Edmonton Public Schools,Active,Edmonton Public Schools,2007,NA
WHA,Canada,Coquitlam,Confucius Institute at Coquitlam School District International Education,Active,Coquitlam School District International Education,2009,NA
WHA,Canada,Hamilton,Confucius Institute at McMaster University,Closed,McMaster University,2009,2013
WHA,Canada,Ontario,Confucius Institute at Brock University,Closed,Brock University,2010,2020
WHA,Canada,Ottawa,Confucius Institute at Carleton University,Active,Carleton University,2010,NA
WHA,Canada,Halifax,Confucius Institute at Saint Mary's University,Active,Saint Mary's University,2011,NA
WHA,Canada,Toronto,Confucius Institute at Seneca College,Active,Seneca College,2011,NA
WHA,Canada,Saskatchewan,Confucius Institute at University of Regina,Active,University of Regina,2011,NA
WHA,Canada,Saskatoon,Confucius Institute at University of Saskatchewan,Active,University of Saskatchewan,2011,NA
WHA,Canada,Toronto,Confucius Institute at Toronto District School Board,Closed,Toronto District School Board,2012,2014
AF,Central African Republic,Bangui,Confucius Institute at the University of Bangui,Active,University of Bangui,2021,NA
AF,Chad,N'Djamena,Confucius Institute of the University of N'djamena,Active,University of N'djamena,2021,NA
WHA,Chile,Vina Del Mar,Confucius Institute at Saint Thomas University,Active,Saint Thomas University,2007,NA
WHA,Chile,Santiago,Confucius Institute at the Catholic University of Chile,Active,Pontificia Universidad Católica de Chile,2008,NA
WHA,Chile,Temuco,Confucius Institute at the University of the Frontier,Active,Universidad de La Frontera,2020,NA
EAP,"China, Hong Kong Special Administrative Region",Hong Kong,Confucius Institute at The Hong Kong Polytechnic University,Active,The Hong Kong Polytechnic University,2006,NA
EAP,"China, Macao Special Administrative Region",Macao,Confucius Institute at University of Macau,Active,University of Macau,2017,NA
WHA,Colombia,Medellin,"Confucius Institute at EAFIT University, the University of Antioquia and the Mayor's Office of Medellín",Active,"EAFIT University, the University of Antioquia and the Mayor's Office of Medellín",2007,NA
WHA,Colombia,Bogota,Confucius Institute at University of Los Andes,Active,University of Los Andes,2007,NA
WHA,Colombia,Bogota,Confucius Institute at Jorge Tadeo Lozano University,Active,Jorge Tadeo Lozano University,2012,NA
AF,Comoros,Moroni,Confucius Institute at University of Comoros,Active,University of Comoros,2018,NA
AF,Congo,Brazzaville,Confucius Institute at Marien Ngouabi University,Active,Marien Ngouabi University,2013,NA
WHA,Costa Rica,San Jose,Confucius Institute at University of Costa Rica,Active,University of Costa Rica,2008,NA
AF,Côte d'Ivoire,Abidjan,Confucius Institute at University of Felix Houphouette Boigny,Active,University of Felix Houphouet Boigny,2015,NA
EUR,Croatia,Zagreb,Confucius Institute at University of Zagreb,Active,University of Zagreb,2012,NA
WHA,Cuba,Havana,Confucius Institute at University of Havana,Active,University of Havana,2007,NA
EUR,Cyprus,Nicosia,Confucius Institute at University of Cyprus,Active,University of Cyprus,2013,NA
EUR,Czechia,Olomouc,Confucius Institute at Palacký University,Active,Palacký University,2007,NA
EUR,Czechia,Prague,Confucius Institute at University of Finance and Administration,Active,University of Finance and Administration,2018,NA
AF,Democratic Republic of the Congo,Kinshasa,Confucius Institute at Diplomatic University of Democratic Republic of Congo,Active,Diplomatic University of Democratic Republic of Congo,2017,NA
WHA,Dominican Republic,Santo Domingo,Confucius Institute at Santo Domingo Institute of Technology,Active,Santo Domingo Institute of Technology,2019,NA
EUR,Denmark,Copenhagen,Confucius Institute at Copenhagen Business School,Closed,Copenhagen Business School,2007,2017
EUR,Denmark,Aalborg,Confucius Institute at Aalborg University,Closed,Aalborg University,2009,2021
EUR,Denmark,Copenhagen,Confucius Institute at Royal Danish Academy of Music,Closed,Royal Danish Academy of Music,2012,2020
EUR,Denmark,Kolding,Confucius Institute at International Business Academy,Active,International Business Academy,2015,NA
WHA,Ecuador,Quito,Confucius Institute at San Francisco University of Quito,Active,San Francisco University of Quito,2010,NA
NEA,Egypt,Cairo,Confucius Institute at Cairo University,Active,Cairo University,2007,NA
NEA,Egypt,Ismailia,Confucius Institute at Suez Canal University,Active,Suez Canal University,2007,NA
NEA,Egypt,Obour,Confucius Institute at Ain Shams University,Active,Ain Shams University,2021,NA
WHA,El Salvador,San Salvador,Confucius Institute at the University of El Salvador,Active,University of El Salvador,2019,NA
AF,Equatorial Guinea,Malabo,Confucius Institute at National University of Equatorial Guinea,Active,National University of Equatorial Guinea,2014,NA
AF,Eritrea,Asmara,Confucius Institute at National Board for Higher Education,Active,National Board for Higher Education,2013,NA
EUR,Estonia,Tallinn,Confucius Institute at Tallinn University,Active,Tallinn University,2010,NA
AF,Ethiopia,Addis Ababa,"Confucius Institute at Technical, Vocational Education and Training Institute of Ethiopia",Active,"Technical, Vocational Education and Training Institute of Ethiopia",2009,NA
AF,Ethiopia,Addis Ababa,Confucius Institute at Addis Ababa University,Active,Addis Ababa University,2013,NA
EAP,Fiji,Suva,Confucius Institute at University of the South Pacific,Active,University of the South Pacific,2012,NA
EUR,Finland,Helsinki,Confucius Institute at University of Helsinki,Active,University of Helsinki,2006,NA
EUR,France,Paris,Confucius Institute at Paris Diderot University,Active,Paris Diderot University,2005,NA
EUR,France,Poitiers,Confucius Institute at University of Poitiers,Active,University of Poitiers,2005,NA
EUR,France,Rennes,"Confucius Institute at Region of Brittany, City of Rennes",Active,"Region of Brittany, City of Rennes",2006,NA
EUR,France,La Rochelle,"Confucius Institute at University of La Rochelle, Government of La Rochelle City",Active,"University of La Rochelle, Government of La Rochelle City",2006,NA
EUR,France,Clermont-Ferrand,Confucius Institute at City of Clermont-Ferrand,Active,City of Clermont-Ferrand,2007,NA
EUR,France,Strasbourg,Confucius Institute at Region of Alsace and 9 Organizations,Active,Region of Alsace and 9 Organizations,2007,NA
EUR,France,Arras,Confucius Institute at Artois University,Active,Artois University,2008,NA
EUR,France,Paris,Confucius Institute at Paris Nanterre University,Closed,Paris Nanterre University,2008,2019
EUR,France,Grenoble,Confucius Institute at Grenoble Alpes University,Active,Grenoble Alpes University,2009,NA
EUR,France,Angers,"Confucius Institute at Region of Pays de la Loire, City of Angers",Active,"Region of Pays de la Loire, City of Angers",2009,NA
EUR,France,Toulouse,Confucius Institute at University of Toulouse,Closed,University of Toulouse,2009,2017
EUR,France,La Reunion,Confucius Institute at University of Reunion Island,Active,University of Reunion Island,2010,NA
EUR,France,Metz,Confucius Institute at University of Lorraine,Active,University of Lorraine,2011,NA
EUR,France,Rouen,Confucius Institute at Neoma Business School,Active,Neoma Business School,2013,NA
EUR,France,Tahiti,Confucius Institute at University of French Polynesia,Active,University of French Polynesia,2013,NA
EUR,France,Montpellier,Confucius Institute at University of Montpellier 2,Active,University of Montpellier 2,2013,NA
EUR,France,Nice,Confucius Institute at University of Nice Sophia Antipolis,Active,University of Nice Sophia Antipolis,2015,NA
EUR,France,Paris,Confucius Institute at ESCP Europe Business School,Active,ESCP Europe Business School,2017,NA
EUR,France,Orleans,Confucius Institute at University of Orleans,Active,University of Orleans,2018,NA
EUR,France,Pau,Confucius Institute at the City of Pau,Active,City of Pau,2019,NA
AF,Gabon,Libreville,Confucius Institute at Omar Bongo University,Active,Omar Bongo University,2017,NA
AF,Gambia,Bundung,Confucius Institute at the University of the Gambia,Active,University of the Gambia,2019,NA
EUR,Georgia,Tbilisi,Confucius Institute at Tbilisi Institute of Asia and Africa,Closed,Tbilisi Institute of Asia and Africa,2006,2009
EUR,Georgia,Tbilisi,"Confucius Institute at Free University of Tbilisi, Georgia",Active,"Free University of Tbilisi, Georgia",2010,NA
EUR,Germany,Nürnberg,Confucius Institute at Friedrich-Alexander-University Erlangen-Nürnberg,Active,Friedrich-Alexander-University Erlangen-Nürnberg,2005,NA
EUR,Germany,Heidelberg,Confucius Institute at Heidelberg University,Active,Heidelberg University,2006,NA
EUR,Germany,Dusseldorf,Confucius Institute at Heinrich Heine University Dusseldorf,Closed,Heinrich Heine University Dusseldorf,2006,2016
EUR,Germany,Hannover,Confucius Institute at Leibniz University Hannover,Active,Leibniz University Hannover,2006,NA
EUR,Germany,Leipzig,Confucius Institute at Leipzig University,Active,Leipzig University,2006,NA
EUR,Germany,Berlin,Confucius Institute at The Free University of Berlin,Active,The Free University of Berlin,2006,NA
EUR,Germany,Frankfurt,Confucius Institute at Goethe University Frankfurt,Active,Goethe University Frankfurt,2007,NA
EUR,Germany,Hamburg,Confucius Institute at The University of Hamburg,Active,The University of Hamburg,2007,NA
EUR,Germany,Duisburg,Confucius Institute at University of Duisburg-Essen,Active,University of Duisburg-Essen,2007,NA
EUR,Germany,Freiburg,Confucius Institute at The University of Freiburg,Active,The University of Freiburg,2008,NA
EUR,Germany,Trier,Confucius Institute at The University of Trier,Closed,The University of Trier,2008,2021
EUR,Germany,Erfurt,Confucius Institute at Erfurt University of Applied Sciences,Active,Erfurt University of Applied Sciences,2011,NA
EUR,Germany,Munich,Confucius Institute at Stiftung Ex-Oriente,Active,Stiftung Ex-Oriente,2012,NA
EUR,Germany,Bremen,Confucius Institute at City University of Applied Sciences,Active,City University of Applied Sciences,2013,NA
EUR,Germany,Goettingen,Confucius Institute at Goettingen University,Active,Goettingen University,2013,NA
EUR,Germany,Paderborn,Confucius Institute at University of Paderborn,Active,University of Paderborn,2014,NA
EUR,Germany,Stralsund,Confucius Institute at Fachhochschule Stralsund University of Applied Sciences,Active,Fachhochschule Stralsund University of Applied Sciences,2015,NA
EUR,Germany,Bonn,Confucius Institute at Rheinische Friedrich-Wilhelms-Universität Bon,Active,Rheinische Friedrich-Wilhelms-Universität Bonn,2016,NA
EUR,Germany,Ingolstadt,Confucius Institute at Technische Hochschule Ingolstadt,Active,Technische Hochschule Ingolstadt,2016,NA
AF,Ghana,Accra,Confucius Institute at University of Ghana,Active,University of Ghana,2012,NA
AF,Ghana,Cape Coast,Confucius Institute at University of Cape Coast,Active,University of Cape Coast,2016,NA
EUR,Greece,Athens,Confucius Institute at Athens University of Economics and Business,Active,Athens University of Economics and Business,2008,NA
EUR,Greece,Thessaloniki,Confucius Institute at Aristotle University of Thessaloniki,Active,Aristotle University of Thessaloniki,2018,NA
EUR,Greece,Volos,Confucius Institute at University of Thessaly,Active,University of Thessaly,2019,NA
AF,Guinea,Conakry,Confucius Institute at Gamal Abdel Nasser University of Conakry,Active,Gamal Abdel Nasser University of Conakry,2017,NA
WHA,Guyana,Georgetown,Confucius Institute at University of Guyana,Active,University of Guyana,2013,NA
EUR,Hungary,Budapest,Confucius Institute at Eötvös Loránd University,Active,Eötvös Loránd University,2006,NA
EUR,Hungary,Szeged,Confucius Institute at University of Szeged,Active,University of Szeged,2012,NA
EUR,Hungary,Miskolc,Confucius Institute at University of Miskolc,Active,University of Miskolc,2013,NA
EUR,Hungary,Pecs,Confucius Institute at University of Pecs,Active,University of Pecs,2014,NA
EUR,Hungary,Debrecen,Confucius Institute at University of Debrecen,Active,University of Debrecen,2018,NA
EUR,Iceland,Reykjavik,Confucius Institute at University of Iceland,Active,University of Iceland,2007,NA
SCA,India,New Delhi,Confucius Institute at Jawaharlal Nehru University,Active,Jawaharlal Nehru University,2005,NA
SCA,India,Chennai,Confucius Institute at VIT University,Active,VIT University,2007,NA
SCA,India,Mumbai,Confucius Institute at University of Mumbai,Active,University of Mumbai,2012,NA
SCA,India,Phagwara,Confucius Institute at Lovely Professional University,Active,Lovely Professional University,2018,NA
SCA,India,Sonipat,Confucius Institute at O.P. Jindal Global University,Active,O.P. Jindal Global University,2018,NA
EAP,Indonesia,Jakarta,Confucius Institute at Jakarta Chinese Language Teaching Center,Active,Jakarta Chinese Language Teaching Center,2007,NA
EAP,Indonesia,Makassar,Confucius Institute at Hasanuddin University,Active,Hasanuddin University,2010,NA
EAP,Indonesia,Malang,Confucius Institute at Malang State University,Active,Malang State University,2010,NA
EAP,Indonesia,Bandung,Confucius Institute at Maranatha Christian University,Active,Maranatha Christian University,2010,NA
EAP,Indonesia,Pontianak,Confucius Institute at Tanjungpura University,Active,Tanjungpura University,2010,NA
EAP,Indonesia,Surabaya,Confucius Institute at Universitas Negeri Surabaya,Active,Universitas Negeri Surabaya,2010,NA
EAP,Indonesia,Jakarta,Confucius Institute at University of Al Azhar,Active,University of Al Azhar,2010,NA
EAP,Indonesia,Surakarta,Confucius Institute at Universitas Sebelas Maret,Active,Universitas Sebelas Maret,2018,NA
NEA,Iran (Islamic Republic of),Tehran,Confucius Institute at Tehran University,Active,Tehran University,2007,NA
NEA,Iran (Islamic Republic of),Babolsar,Confucius Institute at University of Mazandaran,Active,University of Mazandaran,2019,NA
EUR,Ireland,Dublin,Confucius Institute at University College Dublin,Active,University College Dublin,2006,NA
EUR,Ireland,Cork,Confucius Institute at University College Cork,Active,University College Cork,2007,NA
EUR,Ireland,Galway,"Confucius Institute at the National University of Ireland, Galway",Active,"National University of Ireland, Galway",2019,NA
NEA,Israel,Tel Aviv,Confucius Institute at Tel Aviv University,Active,Tel Aviv University,2007,NA
NEA,Israel,Jerusalem,Confucius Institute at Hebrew University of Jerusalem,Active,Hebrew University of Jerusalem,2014,NA
EUR,Italy,Rome,Confucius Institute at Sapienza University of Rome,Active,Sapienza University of Rome,2006,NA
EUR,Italy,Napoli,Confucius Institute at Oriental University of Napoli,Active,Oriental University of Napoli,2007,NA
EUR,Italy,Pisa,Confucius Institute at Université Sainte-Anne,Active,Université Sainte-Anne,2008,NA
EUR,Italy,Bologna,Confucius Institute at University of Bologna,Active,University of Bologna,2008,NA
EUR,Italy,Padova,Confucius Institute at University of Padova,Active,University of Padova,2008,NA
EUR,Italy,Turin,Confucius Institute at University of Turin,Active,University of Turin,2008,NA
EUR,Italy,Venice,Confucius Institute at Venice University,Active,Venice University,2008,NA
